Trial_ID,P1,P2,P3,P4,P5,P6,WarpMax,T_Tip_Peel,T_Tip_Shear,T_Tip_SEQV,T_Tip_Strain,T_Avg_Peel,T_Avg_Shear,B_Tip_Peel,B_Tip_Shear,B_Tip_SEQV,B_Tip_Strain,B_Avg_Peel,B_Avg_Shear,Die_SX,Die_SY_Max
BO_Trial_0253,0.8713682282159979,0.08772173651505068,0.7135157906160766,0.2521117004348419,1.2003519665242477,0.06190679488200472,-0.17314878,-36.666943,2.1739135,39.732117,0.0037112657,0.038169395,-3.4993489,-4.6348414,-3.1106498,25.68196,0.001691464,0.0077117067,-3.3929815,72.96035,-94.41267
BO_Trial_0254,0.8717075980060031,0.0876789221553831,0.7137282982313586,0.2517836537672921,1.2308810037142062,0.062348720464302655,-0.17015643,-36.62899,2.273703,39.459415,0.0036849123,0.032827526,-3.4842324,-4.376451,-3.0510175,25.450253,0.0016711245,0.006526282,-3.3665235,72.219986,-94.49865
BO_Trial_0255,0.8823850526094608,0.08804787666597408,0.7119555719928071,0.25858933592636457,1.213848789720362,0.06164321470773736,-0.17146286,-35.97905,4.280558,38.314846,0.0036716182,0.025945302,-3.4042494,-4.5399427,-2.9256213,25.062801,0.0016292079,0.007141169,-3.268758,71.21915,-94.68811
BO_Trial_0256,0.8697693081434571,0.0888062942825267,0.7143154040481481,0.24617174383968474,1.2139090020632022,0.06380177557177012,-0.17212452,-36.696354,0.98338115,40.089428,0.0037129645,0.037662476,-3.501345,-4.3009152,-3.1240776,25.641972,0.0016888421,0.008578181,-3.3843613,73.08411,-93.54367
BO_Trial_0257,0.8740071600014105,0.08762037083426763,0.7105182971004906,0.25406563989324205,1.2254157171050457,0.061977826408641315,-0.17032005,-36.71329,2.336411,39.45563,0.0036820027,0.03255335,-3.4965796,-4.5192914,-3.038676,25.448288,0.0016736904,0.006339699,-3.3806038,72.10625,-94.50529
BO_Trial_0258,0.8648358786940785,0.08591195227578363,0.7128871198096112,0.24871292629466876,1.213421711834664,0.06305184597804848,-0.17185439,-37.423317,0.40225738,40.98278,0.0037350145,0.043712813,-3.5625653,-4.4781528,-3.1826997,26.082336,0.0017268538,0.00552065,-3.4743104,73.624146,-93.81306
BO_Trial_0259,0.8710604779969127,0.08831199236011952,0.7099447687466311,0.24355731269796754,1.2125345286021159,0.06395713277834182,-0.17196693,-37.04975,0.25255457,40.58442,0.0037181494,0.0417087,-3.5403123,-4.2642365,-3.1359754,25.790062,0.0017031762,0.008956625,-3.4302297,73.27488,-93.22651
BO_Trial_0260,0.8510840136774893,0.08902306891894832,0.7077246089299457,0.25248476956692617,1.201309727778509,0.06124658179447966,-0.17256477,-38.01739,-1.6710272,42.113094,0.00371455,0.051079024,-3.7271209,-5.2260003,-3.4211144,26.61074,0.0018122669,0.006366995,-3.6576316,75.33498,-94.22155
BO_Trial_0261,0.8586223960950493,0.08753058261727475,0.7117947409483838,0.2633250797745517,1.2372471919207908,0.06384182938510052,-0.16871396,-38.121067,-0.89815265,41.577534,0.0036784085,0.036767974,-3.6896007,-4.641214,-3.2584276,26.115292,0.0017445792,0.0025920065,-3.5873365,73.93217,-94.09873
BO_Trial_0262,0.878994573552932,0.08894459449135443,0.7146852556740179,0.24680246534785463,1.2235743936240115,0.06281006756199982,-0.17118977,-35.773006,3.4498413,38.44796,0.003683687,0.029250283,-3.378573,-4.2073836,-2.9475079,25.072496,0.0016299143,0.008557156,-3.2440867,71.44596,-94.0184
